index,cumulative_v_fraction,cumulative_c_fraction,symbol
651,0.460829,0.539171,v
652,0.460123,0.539877,c
653,0.460949,0.539051,v
654,0.460245,0.539755,c
655,0.461069,0.538931,v
656,0.460366,0.539634,c
657,0.461187,0.538813,v
658,0.460486,0.539514,c
659,0.461305,0.538695,v
660,0.460606,0.539394,c
661,0.459909,0.540091,c
662,0.459215,0.540785,c
663,0.460030,0.539970,v
664,0.459337,0.540663,c
665,0.460150,0.539850,v
666,0.459459,0.540541,c
667,0.460270,0.539730,v
668,0.459581,0.540419,c
669,0.458894,0.541106,c
670,0.459701,0.540299,v
671,0.459016,0.540984,c
672,0.459821,0.540179,v
673,0.459138,0.540862,c
674,0.459941,0.540059,v
675,0.459259,0.540741,c
676,0.460059,0.539941,v
677,0.460857,0.539143,v
678,0.460177,0.539823,c
679,0.460972,0.539028,v
680,0.460294,0.539706,c
681,0.459618,0.540382,c
682,0.460411,0.539589,v
683,0.461201,0.538799,v
684,0.460526,0.539474,c
685,0.461314,0.538686,v
686,0.460641,0.539359,c
687,0.461426,0.538574,v
688,0.460756,0.539244,c
689,0.460087,0.539913,c
690,0.460870,0.539130,v
691,0.460203,0.539797,c
692,0.460983,0.539017,v
693,0.460317,0.539683,c
694,0.461095,0.538905,v
695,0.460432,0.539568,c
696,0.461207,0.538793,v
697,0.460545,0.539455,c
698,0.459885,0.540115,c
699,0.460658,0.539342,v
700,0.461429,0.538571,v
701,0.460770,0.539230,c
702,0.461538,0.538462,v
703,0.460882,0.539118,c
704,0.461648,0.538352,v
705,0.460993,0.539007,c
706,0.461756,0.538244,v
707,0.462518,0.537482,v
708,0.463277,0.536723,v
709,0.462623,0.537377,c
710,0.461972,0.538028,c
711,0.462729,0.537271,v
712,0.462079,0.537921,c
713,0.462833,0.537167,v
714,0.462185,0.537815,c
715,0.462937,0.537063,v
716,0.463687,0.536313,v
717,0.463040,0.536960,c
718,0.463788,0.536212,v
719,0.463143,0.536857,c
720,0.463889,0.536111,v
721,0.463245,0.536755,c
722,0.463989,0.536011,v
723,0.463347,0.536653,c
724,0.464088,0.535912,v
725,0.463448,0.536552,c
726,0.464187,0.535813,v
727,0.463549,0.536451,c
728,0.462912,0.537088,c
729,0.463649,0.536351,v
730,0.463014,0.536986,c
731,0.463748,0.536252,v
732,0.463115,0.536885,c
733,0.462483,0.537517,c
734,0.463215,0.536785,v
735,0.462585,0.537415,c
736,0.463315,0.536685,v
737,0.464043,0.535957,v
738,0.463415,0.536585,c
739,0.462788,0.537212,c
740,0.463514,0.536486,v
741,0.462888,0.537112,c
742,0.462264,0.537736,c
743,0.462988,0.537012,v
744,0.463710,0.536290,v
745,0.463087,0.536913,c
746,0.463807,0.536193,v
747,0.463186,0.536814,c
748,0.463904,0.536096,v
749,0.463284,0.536716,c
750,0.464000,0.536000,v
751,0.463382,0.536618,c
752,0.464096,0.535904,v
753,0.464807,0.535193,v
754,0.464191,0.535809,c
755,0.464901,0.535099,v
756,0.464286,0.535714,c
757,0.464993,0.535007,v
758,0.464380,0.535620,c
759,0.465086,0.534914,v
760,0.464474,0.535526,c
761,0.463863,0.536137,c
762,0.463255,0.536745,c
763,0.463958,0.536042,v
764,0.464660,0.535340,v
765,0.464052,0.535948,c
766,0.464752,0.535248,v
767,0.464146,0.535854,c
768,0.464844,0.535156,v
769,0.464239,0.535761,c
770,0.464935,0.535065,v
771,0.464332,0.535668,c
772,0.463731,0.536269,c
773,0.464424,0.535576,v
774,0.463824,0.536176,c
775,0.464516,0.535484,v
776,0.463918,0.536082,c
777,0.464607,0.535393,v
778,0.465296,0.534704,v
779,0.464698,0.535302,c
780,0.465385,0.534615,v
781,0.464789,0.535211,c
782,0.465473,0.534527,v
783,0.466156,0.533844,v
784,0.465561,0.534439,c
785,0.466242,0.533758,v
786,0.465649,0.534351,c
787,0.466328,0.533672,v
788,0.465736,0.534264,c
789,0.466413,0.533587,v
790,0.465823,0.534177,c
791,0.465234,0.534766,c
792,0.465909,0.534091,v
793,0.465322,0.534678,c
794,0.465995,0.534005,v
795,0.465409,0.534591,c
796,0.466080,0.533920,v
797,0.465496,0.534504,c
798,0.466165,0.533835,v
799,0.465582,0.534418,c
800,0.466250,0.533750,v
801,0.465668,0.534332,c
802,0.466334,0.533666,v
803,0.465753,0.534247,c
804,0.466418,0.533582,v
805,0.465839,0.534161,c
806,0.466501,0.533499,v
807,0.465923,0.534077,c
808,0.466584,0.533416,v
809,0.466007,0.533993,c
810,0.465432,0.534568,c
811,0.466091,0.533909,v
812,0.465517,0.534483,c
813,0.464945,0.535055,c
814,0.464373,0.535627,c
815,0.465031,0.534969,v
816,0.464461,0.535539,c
817,0.463892,0.536108,c
818,0.464548,0.535452,v
819,0.465201,0.534799,v
820,0.464634,0.535366,c
821,0.464068,0.535932,c
822,0.464720,0.535280,v
823,0.464156,0.535844,c
824,0.464806,0.535194,v
825,0.464242,0.535758,c
826,0.463680,0.536320,c
827,0.464329,0.535671,v
828,0.463768,0.536232,c
829,0.464415,0.535585,v
830,0.463855,0.536145,c
831,0.464501,0.535499,v
832,0.463942,0.536058,c
833,0.464586,0.535414,v
834,0.464029,0.535971,c
835,0.464671,0.535329,v
836,0.464115,0.535885,c
837,0.464755,0.535245,v
838,0.464200,0.535800,c
839,0.464839,0.535161,v
840,0.464286,0.535714,c
841,0.464923,0.535077,v
842,0.465558,0.534442,v
843,0.465006,0.534994,c
844,0.465640,0.534360,v
845,0.465089,0.534911,c
846,0.465721,0.534279,v
847,0.465171,0.534829,c
848,0.465802,0.534198,v
849,0.465253,0.534747,c
850,0.464706,0.535294,c
851,0.465335,0.534665,v
852,0.464789,0.535211,c
853,0.465416,0.534584,v
854,0.464871,0.535129,c
855,0.465497,0.534503,v
856,0.464953,0.535047,c
857,0.464411,0.535589,c
858,0.465035,0.534965,v
859,0.464494,0.535506,c
860,0.463953,0.536047,c
861,0.464576,0.535424,v
862,0.465197,0.534803,v
863,0.464658,0.535342,c
864,0.465278,0.534722,v
865,0.464740,0.535260,c
866,0.465358,0.534642,v
867,0.464821,0.535179,c
868,0.465438,0.534562,v
869,0.466053,0.533947,v
870,0.465517,0.534483,c
871,0.466131,0.533869,v
872,0.465596,0.534404,c
873,0.466208,0.533792,v
874,0.465675,0.534325,c
875,0.465143,0.534857,c
876,0.465753,0.534247,v
877,0.465222,0.534778,c
878,0.465831,0.534169,v
879,0.465301,0.534699,c
880,0.465909,0.534091,v
881,0.466515,0.533485,v
882,0.465986,0.534014,c
883,0.466591,0.533409,v
884,0.466063,0.533937,c
885,0.465537,0.534463,c
886,0.466140,0.533860,v
887,0.465614,0.534386,c
888,0.466216,0.533784,v
889,0.466817,0.533183,v
890,0.466292,0.533708,c
891,0.465769,0.534231,c
